trial,HP_H_UNITS,HP_LSTM_UNITS,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,64,64,400,32,0.0001,0.001
2,64,64,400,32,0.0001,0.01
3,64,64,400,32,0.001,0.001
4,64,64,400,32,0.001,0.01
5,64,64,400,32,0.01,0.001
6,64,64,400,32,0.01,0.01
7,64,64,400,64,0.0001,0.001
8,64,64,400,64,0.0001,0.01
9,64,64,400,64,0.001,0.001
10,64,64,400,64,0.001,0.01
11,64,64,400,64,0.01,0.001
12,64,64,400,64,0.01,0.01
13,64,64,400,128,0.0001,0.001
14,64,64,400,128,0.0001,0.01
15,64,64,400,128,0.001,0.001
16,64,64,400,128,0.001,0.01
17,64,64,400,128,0.01,0.001
18,64,64,400,128,0.01,0.01
19,64,128,400,32,0.0001,0.001
20,64,128,400,32,0.0001,0.01
21,64,128,400,32,0.001,0.001
22,64,128,400,32,0.001,0.01
23,64,128,400,32,0.01,0.001
24,64,128,400,32,0.01,0.01
25,64,128,400,64,0.0001,0.001
26,64,128,400,64,0.0001,0.01
27,64,128,400,64,0.001,0.001
28,64,128,400,64,0.001,0.01
29,64,128,400,64,0.01,0.001
30,64,128,400,64,0.01,0.01
31,64,128,400,128,0.0001,0.001
32,64,128,400,128,0.0001,0.01
33,64,128,400,128,0.001,0.001
34,64,128,400,128,0.001,0.01
35,64,128,400,128,0.01,0.001
36,64,128,400,128,0.01,0.01
37,64,256,400,32,0.0001,0.001
38,64,256,400,32,0.0001,0.01
39,64,256,400,32,0.001,0.001
40,64,256,400,32,0.001,0.01
41,64,256,400,32,0.01,0.001
42,64,256,400,32,0.01,0.01
43,64,256,400,64,0.0001,0.001
44,64,256,400,64,0.0001,0.01
45,64,256,400,64,0.001,0.001
46,64,256,400,64,0.001,0.01
47,64,256,400,64,0.01,0.001
48,64,256,400,64,0.01,0.01
49,64,256,400,128,0.0001,0.001
50,64,256,400,128,0.0001,0.01
51,64,256,400,128,0.001,0.001
52,64,256,400,128,0.001,0.01
53,64,256,400,128,0.01,0.001
54,64,256,400,128,0.01,0.01
